# Порядок вычитки: сверху вниз. Первая порция — самые частые слова.
порция	язык	слов	первое	последнее	частота_первого	частота_последнего	с_подсказкой	файл
ru-149	русская	200	фрика	слабаками	130	122	8	docs/review-batches/ru/ru-149.tsv
ru-150	русская	200	уберетесь	ужалить	122	115	9	docs/review-batches/ru/ru-150.tsv
ru-151	русская	200	уставшими	рыболюдей	115	107	10	docs/review-batches/ru/ru-151.tsv
ru-152	русская	200	скользящий	помечен	107	168	10	docs/review-batches/ru/ru-152.tsv
ru-153	русская	200	посмейся	посадочная	167	143	8	docs/review-batches/ru/ru-153.tsv
ru-154	русская	200	пропитано	испытайте	143	130	10	docs/review-batches/ru/ru-154.tsv
ru-155	русская	200	неотесанный	явил	130	122	7	docs/review-batches/ru/ru-155.tsv
ru-156	русская	200	ёнб	перетерпеть	122	114	9	docs/review-batches/ru/ru-156.tsv
ru-157	русская	200	поручень	вынюхивал	114	107	6	docs/review-batches/ru/ru-157.tsv
ru-158	русская	200	заковали	богах	107	172	9	docs/review-batches/ru/ru-158.tsv
ru-159	русская	200	вертиго	спозаранку	172	140	10	docs/review-batches/ru/ru-159.tsv
ru-160	русская	200	ступишь	удачливым	140	128	9	docs/review-batches/ru/ru-160.tsv
ru-161	русская	200	взятое	редиска	127	119	10	docs/review-batches/ru/ru-161.tsv
ru-162	русская	200	сваливайте	анабиоза	119	111	8	docs/review-batches/ru/ru-162.tsv
ru-163	русская	200	впускаешь	абажур	111	105	10	docs/review-batches/ru/ru-163.tsv
ru-164	русская	200	анонимки	мышеловке	105	147	11	docs/review-batches/ru/ru-164.tsv
ru-165	русская	200	ночуем	обнаруживаю	147	127	12	docs/review-batches/ru/ru-165.tsv
ru-166	русская	200	орк	скрестил	127	117	10	docs/review-batches/ru/ru-166.tsv
ru-167	русская	200	слезает	задвинуть	117	109	10	docs/review-batches/ru/ru-167.tsv
ru-168	русская	200	занятся	смотримся	109	184	12	docs/review-batches/ru/ru-168.tsv
ru-169	русская	200	сочувствуют	гавайские	183	127	12	docs/review-batches/ru/ru-169.tsv
ru-170	русская	200	дымящийся	пощадим	127	113	7	docs/review-batches/ru/ru-170.tsv
ru-171	русская	200	припозднилась	бедам	113	104	8	docs/review-batches/ru/ru-171.tsv
ru-172	русская	200	беконе	яростная	104	126	9	docs/review-batches/ru/ru-172.tsv
ru-173	русская	200	винцо	эмансипации	125	110	14	docs/review-batches/ru/ru-173.tsv
ru-174	русская	200	вложишь	выискался	109	135	13	docs/review-batches/ru/ru-174.tsv
ru-175	русская	200	магами	вскарабкаться	135	107	5	docs/review-batches/ru/ru-175.tsv
ru-176	русская	200	гипер	вылезала	107	111	10	docs/review-batches/ru/ru-176.tsv
ru-177	русская	200	доведёшь	ахают	111	122	5	docs/review-batches/ru/ru-177.tsv
ru-178	русская	42	придирчивый	остра	122	110	1	docs/review-batches/ru/ru-178.tsv
tt-001	татарская	200	яраббым	төзәт	130	9	21	docs/review-batches/tt/tt-001.tsv
tt-002	татарская	200	югалдың	сикер	9	15	18	docs/review-batches/tt/tt-002.tsv
