# ОТКЛОНЕНО машинной приёмкой. Миссия tt-dict-accept, отчёт — docs/DICT-ACCEPT.md.
# Ручной вычитки не было и не будет: оператор 2026-08-24 заменил её машинным правилом.
#
# ПРАВИЛО: слово принимается, если его подтверждает второй независимый источник
# и регистровая улика не выдаёт в нём имя собственное (cap_ratio < 0.50).
#   two-corpora      — встречается и в OpenSubtitles, и в Tatoeba
#   shipped-word     — уже стоит в поставляемом словаре (в очереди таких нет по построению)
#   shipped-paradigm — русский: основа стоит в поставляемом словаре ещё в >= 3 формах
#   single-source    — подтверждения нет: один корпус и ничего больше
#   proper-noun-evidence — >= 0.50 вхождений с заглавной буквы не в начале строки
#
# Колонки — те же, что в очереди, плюс rule и rule_detail. Отклонённые НЕ удалены: изменить
# правило и перезапустить `python3 scripts/dict_accept.py select` — одна команда.
word	heldout_hits	train_freq	train_freq_clean	sources	license_status	cap_ratio	enters_top100k	rule	rule_detail
мәчем	1	12	12	Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	single-source	Tatoeba
симуляция	1	12	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
алмыйчакбыз	1	11	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
булышасыңмы	1	11	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
кабанны	1	11	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
арбалет	1	10	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
беләчәкмен	1	10	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
булмадың	1	10	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
дирижабль	1	10	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
көрсенә	1	10	0	OpenSubtitles	risk-accepted:no-grant	1.00	no	proper-noun-evidence	cap_ratio=1.00>=0.50
хмм	1	10	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
биткоин	1	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
гөлчәчәкләр	1	9	9	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
кичәгегә	1	9	9	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
монстрлар	1	9	0	OpenSubtitles	risk-accepted:no-grant	0.60	no	proper-noun-evidence	cap_ratio=0.60>=0.50
мәчкәйләр	1	9	0	OpenSubtitles	risk-accepted:no-grant	0.17	no	single-source	OpenSubtitles
охшаганмы	1	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
роз	1	9	0	OpenSubtitles	risk-accepted:no-grant	1.00	no	proper-noun-evidence	cap_ratio=1.00>=0.50
табачаксың	1	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
турта	1	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
эчәрбез	1	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
яманның	1	9	9	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
җенем	1	9	9	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
алгоритмны	1	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
алдамыйм	1	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
бернишләмәдем	1	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
гигаватт	1	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
йохансен	1	8	0	OpenSubtitles	risk-accepted:no-grant	1.00	no	proper-noun-evidence	cap_ratio=1.00>=0.50
китмисең	1	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
күралмыйм	1	8	8	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
мимешләр	1	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
очышында	1	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
роуди	1	8	0	OpenSubtitles	risk-accepted:no-grant	1.00	no	proper-noun-evidence	cap_ratio=1.00>=0.50
эссам	1	8	0	OpenSubtitles	risk-accepted:no-grant	1.00	no	proper-noun-evidence	cap_ratio=1.00>=0.50
янут	1	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
үтерәсе	1	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
аюсы	1	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
вибраниум	1	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
кызыксынасың	1	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
күрсәтерсең	1	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
пилотны	1	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
